"id","section","requirement","spec_source","actual_state","compliance","gap_description","root_cause","replit_step","priority","test_fixture"
"P4.04","Revenue Cascade","Captured product-tier siblings appear in cascade with revenue range","Perfect Brief §Page4 / Delta row 8","Depends on P3.02 fix (sibling capture heuristic)","FAIL","Blocked by sibling capture bug","Cascading from P3.02","Step 9 + Step 11","P1","MSC Cruceros (Explora Journeys)"
"P5.01","Mispricing Thesis","Mispricing thesis generated even for family-owned targets (framed as 'structurally cheaper, no monetization mechanism')","Perfect Brief §Page5 / Delta row 9","Not visible in Nectar PDF; previous MSC run had has_thesis: true with hypothesis but no peer multiples","PARTIAL","Thesis generates but lacks public peer EV/Revenue multiples + decomposition","brief.js mispricing generator — missing peer multiples fixture lookup + discount decomposition","Step 12 (Mispricing always-on)","P2","MSC Cruceros, Patagonia, Trader Joe's"
"P5.02","Mispricing Thesis","Public peer EV/Revenue multiples table with implied valuation calc","Perfect Brief §Page5 / Delta row 9","Not visible in Nectar PDF; not present in previous MSC Cruceros Brief V2","FAIL","Peer multiples lookup table missing","brief.js — needs sector-keyed peer multiples fixture catalog (Cruise: CCL/RCL/NCLH; Mattress: limited public peers; etc.)","Step 12","P2","MSC Cruceros (cruise sector), Toblerone (chocolate/CPG sector)"
"P5.03","Mispricing Thesis","Discount decomposed into illiquidity/conglomerate/governance components with %","Perfect Brief §Page5","Not visible in Nectar PDF; not present in previous output","FAIL","Discount decomposition logic missing","brief.js mispricing generator — needs decomposition function with weighted ranges","Step 12","P2","MSC Cruceros"
"P5.04","Mispricing Thesis","Falsifying signals are concrete and observable (IPO, acquirer approach, restructuring, peer multiple compression, succession event)","Perfect Brief §Page5","Previous MSC run had falsifying signals but they were generic ('New information indicating lower acquisition price')","PARTIAL","Falsifying signals generated but lack specificity","brief.js — falsifying_signals prompt needs better grounding in event types","Step 12","P2","MSC Cruceros, Aston Martin"
"P5.05","Mispricing Thesis","'Actionable reads' sub-section translates thesis into PE/comparables/competitive-intel takeaways","Perfect Brief §Page5","Not visible in any Brief V2 output to date","FAIL","Section missing entirely","brief.js — actionable_reads generator needed","Step 12","P2","MSC Cruceros"
"P6.01","Competitive Context","Peer set populated for consumer/CPG/oligopoly categories instead of 'No identifiable peer set (B2B-niche)'","Perfect Brief §Page6 / Delta row 10","Previous Nectar Brief V2 said 'No identifiable peer set (B2B-niche)' — wrong for DTC mattress; previous MSC also failed","FAIL","B2B-niche detector too aggressive; whitelist for consumer categories missing","brief.js B2B-niche classifier + sector whitelist","Step 13 (Peer-set fallback)","P1","Nectar (DTC mattress), MSC Cruceros (cruise oligopoly), Toblerone (chocolate)"
"P6.02","Competitive Context","Peer table with ≥5 peers including FY revenue, EV/Rev when public, distance tag (direct/adjacent/tangential)","Perfect Brief §Page6","Not generated due to P6.01 failure","FAIL","Blocked by B2B-niche misclassification","Cascades from P6.01","Step 13","P2","MSC Cruceros"
"P6.03","Competitive Context","Industry-structure chart (ASCII bar ranking) showing focal's position vs peers","Perfect Brief §Page6","Not generated","FAIL","Chart rendering missing","gen_pdfs.mjs — competitive industry bar chart component","Step 13","P3","MSC Cruceros"
"P6.04","Competitive Context","Three positioning layers: 'Where focal sits', 'Strategic positioning', 'Where pressure comes from'","Perfect Brief §Page6","Not generated","FAIL","Three-layer positioning analysis missing","brief.js — competitive_positioning generator needs three sub-layers","Step 13","P2","MSC Cruceros, Aston Martin"
"P7.01","Confidence & Gaps","Claims bucketed into HIGH/MEDIUM/LOW confidence with one-line reason per bucket","Perfect Brief §Page7 / Delta row 11","Previous Brief V2 had single MEDIUM/LOW badge; no 3-bucket breakdown with reasoning","FAIL","3-bucket classification not rendered","brief.js confidence_buckets generator + gen_pdfs.mjs rendering","Step 14 (Confidence & Gaps bucketing)","P2","MSC Cruceros, Mercury Technologies"
"P7.02","Confidence & Gaps","Known gaps star-rated by leverage (★ family succession highest, others lower)","Perfect Brief §Page7","Not present","FAIL","Star-rating logic missing","brief.js — gap_leverage_scorer","Step 14","P3","MSC Cruceros"
"P7.03","Confidence & Gaps","Verdict changers map specific conditions to specific resulting labels (e.g. 'Parent restructuring separating cruise → ACQUIRE TARGET')","Perfect Brief §Page7","Previous V2 had generic verdict_changers ('Reconciliation delta ±30%+'); not condition→label mappings","FAIL","Verdict changers exist but as warnings, not as condition→label mappings","brief.js verdict_changers generator needs label-mapping output","Step 14","P2","MSC Cruceros, Mercury Technologies"
"P8.01","Strategic Notes","Each audience block (Investors/M&A/Competitors/GS Users) gets specific actionable notes, not filler","Perfect Brief §Page8 / Delta row 12","Previous Brief V2 had 3 short paragraphs of generic uncertainty filler","FAIL","Audience notes generic; lack named entities and specific actions","brief.js audience_notes prompt needs to require named entities + 'so what do I do' framing","Step 15 (Strategic notes per audience)","P2","MSC Cruceros (PIF, Apollo, Brookfield), Mercury Technologies (acquirer candidates)"
"P8.02","Strategic Notes","'For Growth Signal Users' contains ≥4 specific use cases","Perfect Brief §Page8","Previous V2 had 1-2 filler sentences for this audience","FAIL","GS Users audience underdeveloped","brief.js — audience prompt for growth_signal_users needs ≥4 use case requirement","Step 15","P2","MSC Cruceros, Mercury, Toblerone"
"P8.03","Strategic Notes","Concrete named entities mentioned where relevant (companies, individuals)","Perfect Brief §Page8","Previous V2 said 'potential strategic acquirers' generic","FAIL","Named entities missing","brief.js audience_notes prompt needs entity-grounding requirement","Step 15","P2","MSC Cruceros, Aston Martin"
"P9.01","Data Trace","Sources split into 'Primary sources used' vs 'Sources excluded (with reason)'","Perfect Brief §Page9 / Delta row 13","Previous V2 had source list without split","FAIL","Sources not classified as used vs excluded","brief.js data_trace generator needs source filtering logic + excluded reasoning","Step 16 (Data Trace + methodology)","P3","MSC Cruceros (SimilarWeb excluded for cruise), Booksy (PitchBook subscription excluded)"
"P9.02","Methodology","Methodology note explicit about deterministic-vs-LLM split visible to reader","Perfect Brief §Page9","Previous V2 had a short methodology line","PARTIAL","Methodology mentioned but split not made fully explicit","brief.js methodology section needs expansion","Step 16","P3","All"
"P9.03","Methodology","Limitations list rendered","Perfect Brief §Page9","Not present in current V2 output","FAIL","Limitations section missing","brief.js — limitations_list generator","Step 16","P3","MSC Cruceros, Patagonia"
"P9.04","Methodology","Per-section confidence index (star rating per section, not single overall)","Perfect Brief §Page9","Previous V2 had single overall confidence badge; no per-section breakdown","FAIL","Per-section confidence index missing","brief.js — section_confidence_calculator + rendering","Step 16","P2","MSC Cruceros"
"P9.05","Methodology","Overall confidence shown as forced LOW when escalation rule fires, with reasons listed","Perfect Brief §Page9","Nectar PDF shows 'Confidence forced to LOW: revenue range spread 2.2×, parent reconciliation gap -33%' — works","PASS","None — escalation visible with reasons","Already implemented","Step 2 + Step 16","P1","Nectar (validated)"
"X.01","Resolver (cross-cutting)","Siblings discovered via search must be installed in tree.siblings[] BEFORE revenue phase","Ticket Replit siblings-bug (separate)","T-Awara: searched for Nectar+DreamCloud, mentioned in reasoning, but tree.siblings[] empty; T-Nectar same parent: 4 siblings installed correctly","FAIL","Sibling installation pipeline broken for non-focal-of-attention runs","synth.js ownership phase — sibling installation step missing/conditional","NOT in Task #55 — needs separate ticket #56","P1","T-Awara (focal=Awara), T-Snickers (focal=Snickers), T-MSC Cruceros (focal=MSC Cruceros)"
"X.02","Resolver (cross-cutting)","'Few siblings captured' warning threshold sensitive to single-segment vs multi-segment business","Task #53 (Ready)","Threshold ≥3 fires false alarm for PDD Holdings (single segment), MSC Cruises (focused cruise business)","FAIL","Warning threshold is parent-revenue-only, not segment-aware","synth.js sibling depth warning logic","Task #53 (separate task, ready)","P1","PDD Holdings (T-TEMU), MSC Cruises S.A. (T-MSC Cruceros)"
"X.03","Resolver (cross-cutting)","Revenue inestable cross-runs: same focal in different runs should produce stable numbers","Sprint 3 Issue #8","Nectar focal: $350M (run 1) vs $190M (run 2, 10 min later)","FAIL","Run-to-run variance high for same focal","synth.js revenue phase — non-deterministic signal weighting","NOT in Task #55 — needs separate ticket","P2","Resident Home cross-runs (Nectar/Awara/DreamCloud focal cycle)"
"X.04","Resolver (cross-cutting)","Auto-correct mechanism disabled or guarded against anchor-selection bugs (no multiplier on wrong baseline)","Sprint 3 Issue #7-bis + #12","T36 YouTube applied 0.594× deflator with wrong anchor; T37 LinkedIn applied 3.563× inflator with wrong anchor","UNKNOWN (not tested post-V2.1)","May still be present in resolver layer","synth.js auto-correct + anchor selection logic","NOT in Task #55 — needs separate ticket","P1","T36 YouTube re-run, T37 LinkedIn re-run"
"R.01","PDF rendering","All new/changed sections render cleanly without layout breakage","Task #55 Step 17","Nectar PDF rendered without layout errors visible; counter-signals section may have been dropped silently","PARTIAL","Render works but some sections appear silently omitted vs rendered as 'no data'","gen_pdfs.mjs section visibility / fallback logic","Step 17 (PDF integration)","P3","MSC Cruceros end-to-end, Nectar full PDF"
"R.02","PDF rendering","Minus sign (−) renders correctly in directional implication badges, not as ("") quote character","P2.01 finding","Nectar PDF renders negative implications as ("") instead of (−)","FAIL","Character encoding/font issue in PDF generation","gen_pdfs.mjs — character mapping or font subset","Step 17","P3","Nectar (current bug visible)"
